name,x,y,z
root,8.347278,-7.694447,11.5156
neck,-2.026333,-29.020118,0.7752
shoulder.l,9.508176,-43.682165,-12.8698
elbow.l,-15.813204,-45.316981,-29.3381
wrist.l,-35.479038,-48.962197,-18.2018
shoulder.r,-11.526994,-25.128920,22.8361
elbow.r,-24.540670,-31.494118,58.7388
wrist.r,-32.036721,-45.551620,89.1546
headTop,2.020869,-49.605683,15.2865
hip.l,16.280865,6.547607,3.5259
knee.l,29.155313,44.472164,-22.2346
ankle.l,39.755003,58.696492,-27.3591
foot.l,34.425948,49.600295,-37.3167
hip.r,6.377339,9.687429,6.7753
knee.r,-5.049413,38.149047,-36.9935
ankle.r,-10.288890,62.070065,-5.2187
foot.r,-9.109527,57.233149,-19.0757
