name,x,y,z
root,17.103259,-14.647072,-3.0161
neck,15.356612,-42.175108,3.4188
shoulder.l,-3.783562,-46.617433,-11.9469
elbow.l,-13.789705,-36.338728,-36.7437
wrist.l,-28.496560,-10.183719,-22.4963
shoulder.r,19.093212,-37.282529,25.6259
elbow.r,-7.692615,-22.816291,47.5994
wrist.r,-31.045699,-12.745715,60.2121
headTop,13.372744,-57.089728,17.4440
hip.l,10.194943,1.419587,-8.5628
knee.l,-13.757049,24.314954,-52.1376
ankle.l,-27.033775,44.513267,-86.8770
foot.l,-34.977195,29.983760,-94.9825
hip.r,17.378319,2.993977,-4.4832
knee.r,22.644070,42.989324,25.0849
ankle.r,23.061982,71.835095,59.9117
foot.r,22.371017,61.846357,81.9494
