name,x,y,z
root,3.876065,-13.155827,-10.7036
neck,-10.318385,-32.024065,-6.0612
shoulder.l,-25.616148,-32.719614,-23.0863
elbow.l,-7.691835,-13.803861,-48.4569
wrist.l,-8.057703,3.313095,-45.5543
shoulder.r,-3.758727,-43.464814,12.5290
elbow.r,-2.437746,-22.569877,35.5624
wrist.r,-14.878182,-6.474183,44.3292
headTop,-24.669935,-51.623681,-4.3227
hip.l,1.850791,2.107012,-12.0089
knee.l,-25.038639,21.947874,19.5935
ankle.l,11.079084,35.612504,-1.5442
foot.l,6.587066,40.891061,6.4773
hip.r,13.599720,-4.534626,-2.6535
knee.r,20.728019,20.631946,31.9129
ankle.r,35.773027,46.882956,-2.8668
foot.r,28.973527,48.984100,6.8543
