name,x,y,z
root,4.545754,-7.511220,0.9404
neck,9.871394,-35.141030,5.4690
shoulder.l,23.691776,-37.836390,-8.5946
elbow.l,23.402794,-23.468521,-39.1090
wrist.l,10.484900,-38.274398,-51.9142
shoulder.r,-2.006391,-40.660579,25.8164
elbow.r,-7.708441,-29.463568,40.1823
wrist.r,-15.944677,-16.664719,45.1514
headTop,15.509329,-56.030799,13.2963
hip.l,-0.004675,3.722273,-11.4520
knee.l,-7.621176,35.744008,-46.4566
ankle.l,-0.815205,57.632373,-25.2452
foot.l,-6.445889,65.451619,-27.2702
hip.r,-7.338592,2.657734,2.3600
knee.r,-32.370171,24.904527,36.2371
ankle.r,1.965502,47.522982,17.2623
foot.r,-9.216231,47.415708,23.3266
