name,x,y,z
root,-15.309508,-7.029731,27.4593
neck,-0.813786,-32.248701,19.0252
shoulder.l,12.431846,-32.990336,36.4247
elbow.l,11.342560,-10.009721,12.7270
wrist.l,11.200270,-4.245860,-7.7292
shoulder.r,-19.382089,-38.639508,8.7143
elbow.r,-12.498671,-10.207710,-10.4992
wrist.r,1.462565,2.236276,-21.5884
headTop,0.553996,-55.693665,23.8074
hip.l,-6.456662,7.363917,29.6269
knee.l,20.975310,8.961137,-3.9368
ankle.l,4.951268,46.285596,-19.1041
foot.l,12.729544,39.979025,-31.0508
hip.r,-24.473659,0.934417,15.7092
knee.r,-1.485179,-2.690621,-25.2959
ankle.r,-2.330978,46.732921,-21.4389
foot.r,7.103173,41.262564,-32.8509
