name,x,y,z
root,-6.805140,-16.362140,9.8000
neck,-1.902406,-39.649677,10.2989
shoulder.l,19.889768,-44.412184,23.4746
elbow.l,22.734329,-21.650241,49.0932
wrist.l,22.716620,-15.214385,29.3163
shoulder.r,-23.277360,-48.834155,1.8730
elbow.r,-33.089024,-19.712746,9.6332
wrist.r,-19.801953,-9.046560,-16.0301
headTop,5.755892,-59.981566,4.8561
hip.l,3.082891,-4.334946,1.6000
knee.l,22.506488,21.567953,-33.4575
ankle.l,14.878098,52.459119,7.4695
foot.l,13.470092,58.633578,1.0435
hip.r,-12.070189,-5.192750,-2.0373
knee.r,-17.756506,28.082206,-41.4651
ankle.r,-6.124178,61.620320,-24.9230
foot.r,-4.207422,62.028175,-30.5455
