name,x,y,z
root,9.500262,-16.172252,3.9811
neck,1.337430,-38.809132,3.6768
shoulder.l,-17.561425,-43.638550,0.1628
elbow.l,-16.945073,-28.961646,-24.9466
wrist.l,-32.074762,-33.223245,-35.5192
shoulder.r,18.569470,-48.983501,4.1708
elbow.r,33.549374,-19.238347,24.2926
wrist.r,23.510778,-17.578087,50.1894
headTop,-2.879311,-57.968088,0.3090
hip.l,3.249338,-3.503493,-1.2235
knee.l,-11.671749,33.431442,-20.9996
ankle.l,-34.530919,70.620142,-41.7981
foot.l,-41.497501,72.245712,-39.2712
hip.r,16.000776,-4.447951,11.2407
knee.r,14.619598,18.327189,17.6429
ankle.r,25.121898,56.858652,24.5144
foot.r,11.701815,61.041154,23.5777
