name,x,y,z
root,16.980678,-9.649984,9.7322
neck,10.656977,-41.167897,2.0212
shoulder.l,-2.697124,-40.869442,-21.5884
elbow.l,-10.919935,-14.610128,-63.2018
wrist.l,-18.869087,-27.757199,-50.0345
shoulder.r,17.177499,-51.202690,20.9518
elbow.r,5.499185,-44.113874,61.0256
wrist.r,-16.355290,-41.557627,32.5357
headTop,3.919937,-62.957479,-12.7629
hip.l,8.808307,6.971053,7.1655
knee.l,-12.437220,48.350493,-17.9985
ankle.l,15.362172,59.202350,-67.9907
foot.l,16.059841,67.265874,-87.9788
hip.r,14.886198,4.260867,21.7640
knee.r,-8.970716,33.281874,59.2604
ankle.r,-18.760566,60.176454,46.2983
foot.r,-20.340856,54.377356,60.8009
