name,x,y,z
root,3.048539,-12.480277,1.9307
neck,7.531444,-43.168433,1.4950
shoulder.l,24.752042,-55.690664,4.4548
elbow.l,15.439528,-18.090345,8.8665
wrist.l,-7.557846,1.759460,10.1294
shoulder.r,7.487442,-65.754012,15.3405
elbow.r,-2.909333,-30.701601,17.7143
wrist.r,5.897464,-5.025681,8.4274
headTop,13.157491,-60.293659,-1.3536
hip.l,10.474257,-3.524848,-11.4599
knee.l,1.582184,27.411238,-9.9710
ankle.l,4.188588,73.168429,1.2747
foot.l,5.398114,62.356056,-17.7012
hip.r,-14.499301,-12.373542,0.7353
knee.r,-27.802569,13.321844,-25.8861
ankle.r,-19.833886,64.120510,8.4210
foot.r,-26.354156,64.965523,-12.4178
