name,x,y,z
root,10.359090,-11.871434,46.0365
neck,7.165411,-32.884328,34.5394
shoulder.l,30.883553,-40.891581,24.6678
elbow.l,22.399143,-12.465931,-1.6590
wrist.l,15.502920,5.844353,-18.0480
shoulder.r,-15.877584,-42.360025,36.7829
elbow.r,-22.328534,-17.651588,5.1239
wrist.r,-24.142408,-3.155153,-17.0213
headTop,5.455415,-67.797741,21.8286
hip.l,17.191049,-0.268939,31.2539
knee.l,16.097670,23.948327,-11.8736
ankle.l,0.395017,59.570948,-39.9860
foot.l,9.428401,37.235963,-52.2889
hip.r,-3.705493,-1.552202,38.0729
knee.r,-23.194371,17.033102,-10.4660
ankle.r,-17.916413,54.083151,-38.0034
foot.r,-27.712868,33.183078,-48.9598
