name,x,y,z
root,6.071094,-18.589517,-27.7134
neck,1.304192,-49.912018,-32.3861
shoulder.l,-17.496428,-52.839494,-46.7593
elbow.l,-23.703111,-19.105394,-24.5561
wrist.l,-34.244898,-2.533092,-3.9078
shoulder.r,21.009866,-60.893350,-27.1127
elbow.r,26.141951,-29.458582,-6.8835
wrist.r,30.685203,-11.868770,15.7667
headTop,-2.981108,-77.406979,-36.3651
hip.l,-5.314726,-3.955418,-26.0816
knee.l,-28.600572,27.003915,6.8468
ankle.l,-23.618185,74.938822,31.7682
foot.l,-35.367341,71.421124,47.2559
hip.r,13.182613,-7.953367,-14.9677
knee.r,20.168134,27.824449,20.3530
ankle.r,28.468781,70.918669,53.5100
foot.r,24.294536,62.409001,71.2327
