name,x,y,z
root,8.712969,-8.167923,4.4997
neck,4.650692,-33.871340,4.6801
shoulder.l,16.299251,-37.223927,-9.4097
elbow.l,17.251382,-20.138879,-37.6039
wrist.l,-8.541539,-30.042262,-9.8371
shoulder.r,1.227123,-40.178461,21.0401
elbow.r,-18.995206,-25.438383,48.8703
wrist.r,-15.690268,-31.495750,23.9022
headTop,7.656511,-56.126491,7.0905
hip.l,9.194546,6.078992,-5.5480
knee.l,3.953710,33.498808,-39.3886
ankle.l,10.512812,71.673335,-9.4379
foot.l,10.695004,39.405336,-64.4791
hip.r,0.918616,5.091601,9.1114
knee.r,-12.436669,28.601225,14.2638
ankle.r,4.517417,61.148824,6.2081
foot.r,-39.926349,37.185295,36.0382
