name,x,y,z
root,-1.878655,-17.309155,17.9572
neck,-8.603477,-45.783600,20.3475
shoulder.l,15.389522,-49.630716,32.5099
elbow.l,24.195885,-26.597145,60.3130
wrist.l,23.425916,-4.046928,67.2469
shoulder.r,-26.578575,-41.891131,34.0526
elbow.r,-28.000280,-19.897277,11.2712
wrist.r,-8.392895,-8.757447,3.5677
headTop,1.149230,-76.270575,23.0831
hip.l,11.909971,-17.441077,3.6226
knee.l,23.630473,27.013772,-26.2300
ankle.l,23.981756,71.204138,-44.9975
foot.l,20.590245,55.242026,-55.3646
hip.r,-13.689640,-10.548067,6.6811
knee.r,-16.853752,31.967832,-21.9905
ankle.r,-19.798701,73.591472,-61.7244
foot.r,-20.477022,59.153878,-70.3457
