name,x,y,z
root,-10.495802,-7.260111,-11.0140
neck,-4.877831,-32.141648,-6.1881
shoulder.l,-16.768397,-39.147780,7.8320
elbow.l,-21.532029,-5.966890,16.0412
wrist.l,-2.563896,-12.465571,11.1093
shoulder.r,2.987202,-48.913897,-19.8178
elbow.r,14.550105,-70.648616,-45.6942
wrist.r,19.843351,-92.673178,-22.1765
headTop,-16.858885,-58.346005,-1.0906
hip.l,-9.984776,4.152638,0.8680
knee.l,2.256215,35.685703,31.9585
ankle.l,4.651075,70.904250,70.5555
foot.l,19.956576,67.949555,68.9812
hip.r,-1.199973,4.325878,-16.6449
knee.r,14.823510,40.950517,-30.3979
ankle.r,-0.694731,70.137915,-27.8421
foot.r,5.908286,73.457239,-26.4796
