name,x,y,z
root,9.644475,3.244571,5.5053
neck,4.678090,-23.679054,12.6022
shoulder.l,18.255096,-44.508542,14.4961
elbow.l,23.709103,-60.528815,-13.9883
wrist.l,25.804659,-90.813593,-27.1476
shoulder.r,-7.398898,-36.612354,29.3210
elbow.r,-21.331157,-40.467455,2.9095
wrist.r,-10.234171,-58.430372,-4.2938
headTop,14.561318,-39.350026,30.1500
hip.l,10.622164,9.304663,-10.0225
knee.l,-1.032949,39.108515,-49.3223
ankle.l,0.847603,73.349965,-92.5399
foot.l,-20.152220,82.061569,-83.5262
hip.r,-2.044395,14.655524,3.6105
knee.r,-19.363723,40.865848,34.8218
ankle.r,-11.250299,61.831408,72.9125
foot.r,-15.314696,69.968150,74.5115
