name,x,y,z
root,-2.318028,-13.455189,14.7472
neck,11.474623,-31.158309,-3.8942
shoulder.l,31.217738,-33.470358,0.8477
elbow.l,16.316419,-21.315954,-45.0734
wrist.l,10.777436,-34.042069,-90.9847
shoulder.r,-4.202309,-41.120760,-14.3396
elbow.r,-23.628559,-11.260694,18.0242
wrist.r,-25.320414,1.496474,-1.1847
headTop,16.758256,-49.432917,-14.6181
hip.l,2.333865,7.213803,22.0022
knee.l,27.207598,37.430609,-15.7234
ankle.l,14.612437,58.476710,18.0656
foot.l,15.487951,67.425795,10.2761
hip.r,-14.474050,0.736751,10.7629
knee.r,-21.406321,22.690138,-11.9749
ankle.r,-26.680117,10.830366,51.6753
foot.r,-28.156524,28.955605,51.3915
