name,x,y,z
root,-27.651038,-5.894407,-24.3622
neck,-7.769744,11.756471,-25.1975
shoulder.l,-0.014278,11.626150,-40.6945
elbow.l,11.935684,-8.115172,-44.1225
wrist.l,31.193031,-24.090025,-46.7028
shoulder.r,-8.511460,26.581052,-26.8207
elbow.r,13.090920,43.687916,-2.2438
wrist.r,31.227497,63.384682,13.2820
headTop,10.535681,29.839953,-34.7899
hip.l,-28.911368,-17.510957,-18.5326
knee.l,-5.795996,-4.709066,22.3225
ankle.l,4.582781,-15.651603,38.9256
foot.l,5.448614,-10.870945,46.9695
hip.r,-39.690591,-10.811176,-14.6125
knee.r,0.245739,-16.542781,25.6442
ankle.r,3.385098,-40.703249,61.9099
foot.r,6.699428,-31.976843,69.0254
