name,x,y,z
root,1.275153,-8.741125,-18.6267
neck,6.984588,-32.190209,-26.9343
shoulder.l,-4.535718,-41.360375,-16.0564
elbow.l,-17.405548,-21.581815,-28.9599
wrist.l,-22.647528,-7.677946,-24.8651
shoulder.r,24.067984,-37.380849,-45.4655
elbow.r,26.711086,-11.992184,-27.1753
wrist.r,22.293687,2.204989,-16.6507
headTop,12.983598,-53.069023,-30.0712
hip.l,-3.889566,-4.234616,-3.3836
knee.l,-12.351802,18.235661,37.7515
ankle.l,-14.550563,60.564324,40.9834
foot.l,-56.360970,23.780005,75.1658
hip.r,13.914933,1.318962,-15.3649
knee.r,13.371478,20.527013,8.0023
ankle.r,3.466084,55.516890,30.6892
foot.r,6.673105,36.080298,60.9615
