name,x,y,z
root,2.292899,-9.782956,46.2461
neck,0.839010,-37.751630,39.1454
shoulder.l,24.242913,-48.151681,28.0316
elbow.l,6.285861,-31.981092,-22.9978
wrist.l,-7.324564,-25.931418,-42.3788
shoulder.r,-23.484910,-45.907132,41.4732
elbow.r,-12.884868,-25.154542,5.7018
wrist.r,-17.193792,-18.476098,-16.7256
headTop,3.881712,-63.838122,49.7829
hip.l,7.305501,3.374655,34.0443
knee.l,14.071241,32.205058,-1.4700
ankle.l,13.446782,65.059264,-37.4911
foot.l,16.445465,56.497690,-37.5116
hip.r,-3.360006,3.497588,33.7933
knee.r,-5.476286,34.426609,-4.4900
ankle.r,-11.382945,61.821467,-56.6141
foot.r,-7.704013,50.092340,-58.5395
