name,x,y,z
root,-9.469103,-15.269909,-4.3962
neck,2.785264,-36.773422,-10.3812
shoulder.l,22.661260,-46.966727,-2.0273
elbow.l,11.777923,-29.605141,22.8549
wrist.l,9.625789,-11.182706,32.2336
shoulder.r,-10.688621,-48.275369,-23.0482
elbow.r,-8.410673,-21.998382,-42.0132
wrist.r,11.109192,-12.970091,-45.5449
headTop,2.544512,-60.373070,-10.5317
hip.l,-1.800052,-3.749592,2.5558
knee.l,3.130167,25.364728,27.9733
ankle.l,-0.964390,51.155609,68.9886
foot.l,10.191427,54.165040,72.4628
hip.r,-13.429968,-2.216107,-11.7913
knee.r,-2.846597,28.178736,-42.6918
ankle.r,-15.791712,63.691377,-12.4818
foot.r,-10.424416,66.825028,-22.1613
