name,x,y,z
root,-17.473833,-14.093552,-9.8752
neck,-3.013374,-27.227933,-9.7368
shoulder.l,-2.728075,-41.113059,4.8239
elbow.l,-24.487470,-26.612234,11.1965
wrist.l,-37.541776,-15.169585,12.3526
shoulder.r,7.394945,-31.860692,-27.1300
elbow.r,-12.024783,-17.143271,-44.7224
wrist.r,-25.947809,-0.652266,-48.2756
headTop,14.109535,-46.904118,-11.2937
hip.l,-17.842380,-3.866405,-0.8208
knee.l,10.110421,12.887251,25.9189
ankle.l,21.941257,48.469299,41.4246
foot.l,29.267727,47.175149,45.6726
hip.r,-14.480138,-1.209326,-10.2374
knee.r,18.511245,14.817027,-0.7601
ankle.r,23.459253,51.660326,9.1732
foot.r,30.745256,50.843392,12.2899
