name,x,y,z
root,-15.137676,-8.926043,-16.6875
neck,-4.003778,-28.475836,-14.2899
shoulder.l,-11.658479,-38.923090,0.8047
elbow.l,4.777431,-24.856966,20.5429
wrist.l,21.218859,-16.331316,16.5392
shoulder.r,0.628969,-38.059274,-34.2092
elbow.r,16.655358,-19.169114,-50.7306
wrist.r,24.095804,-19.094567,-23.5512
headTop,-12.543130,-48.089767,-16.3640
hip.l,-17.703619,0.536549,-5.2945
knee.l,-1.216144,17.806050,27.5945
ankle.l,-6.986577,48.178693,29.4469
foot.l,2.561493,42.545660,32.7667
hip.r,-8.889740,3.440898,-19.6718
knee.r,6.853126,24.864882,13.4390
ankle.r,-3.384535,53.435462,15.8188
foot.r,4.732636,51.117780,23.8460
