name,x,y,z
root,6.035193,-4.531805,25.6619
neck,8.257668,-30.949117,8.8952
shoulder.l,21.954016,-30.161201,-13.7584
elbow.l,11.716111,-5.130728,-43.2782
wrist.l,-2.637871,-19.058875,-84.7230
shoulder.r,3.157766,-49.426587,21.8677
elbow.r,-18.610144,-41.606299,35.1205
wrist.r,-39.952522,-49.822958,25.2165
headTop,34.496186,-53.381530,21.3047
hip.l,6.246202,9.478826,12.9425
knee.l,18.361495,40.724523,13.4678
ankle.l,56.337754,78.715040,48.5664
foot.l,77.716779,68.452066,10.5247
hip.r,-6.421459,10.293225,34.2896
knee.r,-34.915137,12.381664,-15.3614
ankle.r,-52.262923,58.616415,-40.2839
foot.r,-89.479114,5.407340,-60.4528
