name,x,y,z
root,-7.751869,-17.239259,5.4917
neck,13.085803,-35.046425,8.5972
shoulder.l,14.322552,-22.492148,28.9050
elbow.l,6.796594,-12.575015,47.0729
wrist.l,10.151316,-0.730358,56.8483
shoulder.r,10.392485,-45.145544,-8.8590
elbow.r,20.617415,-68.748970,-32.8612
wrist.r,32.617558,-84.901136,-22.6139
headTop,19.899499,-50.323531,21.6789
hip.l,-8.673433,-0.337209,10.0317
knee.l,6.780469,33.289430,-6.4997
ankle.l,-4.672083,76.064357,17.0594
foot.l,0.906627,89.416304,8.5890
hip.r,-17.096024,-9.931047,-7.2672
knee.r,-17.392435,33.350862,-27.1780
ankle.r,-42.157029,53.217841,-40.9947
foot.r,-37.827446,62.131849,-58.0004
