name,x,y,z
root,-16.918407,-17.105101,-25.7675
neck,1.216524,-36.992244,-18.4723
shoulder.l,-12.734949,-43.533990,-1.0358
elbow.l,9.684067,-15.035517,47.5988
wrist.l,26.637113,2.446390,36.8231
shoulder.r,6.722932,-59.999696,-34.5011
elbow.r,25.773516,-26.049637,-51.1963
wrist.r,29.609212,-7.528071,-22.8087
headTop,16.387889,-58.134997,-4.7603
hip.l,-17.039203,-3.331123,-16.7638
knee.l,-15.724738,23.121427,23.1971
ankle.l,-23.961121,55.433400,61.1441
foot.l,-2.081554,33.642544,65.1284
hip.r,-16.619852,-3.166232,-33.7546
knee.r,7.185020,38.247005,-28.5972
ankle.r,-15.430414,63.892489,3.8479
foot.r,-2.706035,54.093354,-0.0818
