name,x,y,z
root,-0.562608,-15.543046,0.7834
neck,-3.944328,-41.726832,-12.9660
shoulder.l,18.223374,-58.138322,-8.3260
elbow.l,17.716818,-40.472223,13.0086
wrist.l,30.258783,-29.879826,29.5721
shoulder.r,-30.353186,-43.682669,-18.6671
elbow.r,-22.607799,-18.561170,17.1783
wrist.r,-34.942926,10.202810,24.6486
headTop,-9.592069,-65.522727,-22.3157
hip.l,14.514979,-2.363626,2.5617
knee.l,39.698957,26.941529,-27.3905
ankle.l,31.213361,48.468502,25.0037
foot.l,31.917188,69.982845,25.1747
hip.r,-9.040295,2.039390,-2.9100
knee.r,-16.289776,30.448500,-50.0714
ankle.r,-30.648941,52.952501,0.9215
foot.r,-25.561533,74.854366,3.7944
