name,x,y,z
root,-3.438346,-9.474352,5.6265
neck,12.600168,-24.382951,8.1363
shoulder.l,14.614291,-24.099495,27.8912
elbow.l,0.903611,-7.077479,35.0777
wrist.l,17.192006,9.737383,35.2459
shoulder.r,15.497329,-42.001432,-0.5247
elbow.r,5.440572,-39.016223,-27.0315
wrist.r,22.646606,-53.498539,-33.4137
headTop,19.916187,-40.279367,24.8866
hip.l,-3.320807,4.843317,8.2841
knee.l,18.792159,25.690599,-20.0777
ankle.l,13.780531,58.953670,-47.5339
foot.l,15.918222,55.339990,-57.7830
hip.r,-12.846364,-1.270758,-2.0758
knee.r,-30.506053,20.573179,-6.9006
ankle.r,-51.202033,30.806474,27.6521
foot.r,-55.988079,35.155986,22.5404
