name,x,y,z
root,0.924616,-9.687170,-26.6657
neck,1.422573,-33.482118,-24.1542
shoulder.l,-25.343173,-27.447580,-8.2400
elbow.l,-20.373632,-22.178184,19.6112
wrist.l,-24.057022,-26.101917,38.1749
shoulder.r,21.170750,-42.346057,-34.8680
elbow.r,19.770466,-62.703115,-24.4960
wrist.r,5.080661,-74.286139,-14.2474
headTop,18.064749,-48.895212,-18.7244
hip.l,-2.887175,8.034487,-18.8129
knee.l,-15.570968,46.946431,17.0319
ankle.l,-1.463584,71.222998,31.7419
foot.l,-8.781030,62.917663,36.5036
hip.r,9.055929,1.193353,-13.4742
knee.r,-2.322085,34.469889,24.9290
ankle.r,16.898327,60.843175,4.0456
foot.r,8.410598,61.499496,11.6449
