name,x,y,z
root,5.732155,-9.031454,29.9343
neck,-13.265577,-35.058764,29.7058
shoulder.l,-3.969299,-56.602028,14.4946
elbow.l,7.913333,-46.235394,-24.7749
wrist.l,10.206659,-33.718872,-48.9813
shoulder.r,-25.403493,-34.001384,50.2743
elbow.r,-12.662667,-32.375757,65.7019
wrist.r,2.211580,-36.235276,48.8773
headTop,-19.743469,-50.174850,49.9079
hip.l,15.194765,-1.294249,15.1764
knee.l,23.520033,19.323120,-26.7605
ankle.l,43.115293,71.637993,-37.4995
foot.l,38.249456,64.209074,-55.2023
hip.r,-0.922860,8.928343,28.0193
knee.r,-27.113159,29.249751,-17.3410
ankle.r,-17.535211,73.444172,-54.5498
foot.r,-25.527541,67.935575,-66.9825
