name,x,y,z
root,-1.382376,-16.359350,16.0575
neck,4.856113,-38.200633,9.9150
shoulder.l,15.048979,-44.781969,29.3053
elbow.l,17.932856,-15.962722,33.5168
wrist.l,21.623815,-7.964179,16.1200
shoulder.r,-14.913452,-43.680732,0.4037
elbow.r,-25.517139,-19.562528,-16.7520
wrist.r,-3.937306,-17.811222,-33.5916
headTop,-1.786459,-56.033143,16.7352
hip.l,5.691665,-2.868636,19.9605
knee.l,0.218446,21.765983,-10.1712
ankle.l,-11.239335,49.283405,-16.6966
foot.l,-11.248559,49.013394,-31.6017
hip.r,-11.938801,-4.506011,8.8794
knee.r,-2.360568,21.572259,-23.3336
ankle.r,6.736116,62.228688,-5.6499
foot.r,12.216004,63.867395,-13.0968
