name,x,y,z
root,-15.598080,-11.049424,17.7091
neck,-43.597474,-9.866773,9.9029
shoulder.l,-50.916900,-28.242484,-3.4407
elbow.l,-14.157031,-28.745829,-25.8626
wrist.l,-23.321457,-12.627080,-36.2503
shoulder.r,-58.471611,13.351835,12.7132
elbow.r,-14.681181,24.314390,-10.3846
wrist.r,-11.407816,5.858744,-37.5232
headTop,-63.386394,4.150884,-6.2947
hip.l,-1.449313,-15.625360,4.6118
knee.l,23.649688,12.494425,-25.2658
ankle.l,58.216782,-17.001989,1.4477
foot.l,58.475765,-12.480964,-6.7292
hip.r,-5.204318,4.480232,17.7794
knee.r,37.078725,22.031018,-4.9406
ankle.r,63.548957,18.155018,46.9762
foot.r,61.221658,30.803357,45.5516
