name,x,y,z
root,-4.842363,-10.851083,16.3958
neck,-0.750637,-35.815492,8.4038
shoulder.l,18.038467,-44.068278,15.5348
elbow.l,33.992032,-28.100485,15.8049
wrist.l,30.628194,-33.018231,-10.0155
shoulder.r,-20.722853,-42.504668,1.5454
elbow.r,1.084608,-21.043387,-16.2273
wrist.r,22.155961,-26.958497,-24.4224
headTop,-2.107885,-60.541750,7.0947
hip.l,6.052421,1.416759,11.7140
knee.l,12.565828,36.605488,-19.5111
ankle.l,24.750280,60.519141,24.5533
foot.l,24.808717,66.319726,16.9391
hip.r,-15.368414,-1.602834,7.1152
knee.r,-25.443366,27.556287,-28.9738
ankle.r,-48.901530,54.640955,-8.0950
foot.r,-55.939459,57.446350,-17.8559
