name,x,y,z
root,1.538554,-17.063793,18.9221
neck,2.971716,-40.843719,10.8759
shoulder.l,18.462039,-54.944713,17.0079
elbow.l,17.859631,-29.217564,15.6063
wrist.l,8.097753,-39.018033,8.1276
shoulder.r,-16.490013,-47.116640,5.2640
elbow.r,-17.706495,-16.467526,-11.3577
wrist.r,-23.210260,-24.083660,-49.2228
headTop,2.806152,-68.314307,15.1189
hip.l,13.048990,-6.007235,18.9492
knee.l,14.035134,31.160039,-2.9087
ankle.l,28.206389,76.112781,-14.8143
foot.l,28.142659,71.169336,-31.7976
hip.r,-7.421813,-2.850909,13.3546
knee.r,-16.344197,26.164526,-16.0888
ankle.r,-21.537910,69.351848,7.2387
foot.r,-32.458329,71.969569,-4.2753
