name,x,y,z
root,2.082142,9.650577,25.8287
neck,7.135085,-12.271156,56.4562
shoulder.l,37.152895,-8.957179,51.8162
elbow.l,15.961674,31.738362,42.7971
wrist.l,21.474424,46.142100,38.0843
shoulder.r,-11.208694,-20.424321,80.7595
elbow.r,-26.147932,20.430735,64.6842
wrist.r,-31.955731,31.748522,48.9750
headTop,13.272375,-25.894884,81.3522
hip.l,11.337649,13.180698,3.7438
knee.l,40.225569,-22.391535,-42.4429
ankle.l,60.199256,-39.450623,-107.8626
foot.l,66.479391,-63.208474,-107.7960
hip.r,-13.184766,12.678775,9.0378
knee.r,-39.451588,6.979383,-38.5087
ankle.r,-72.659075,16.927819,-99.6384
foot.r,-80.712674,3.121201,-107.2862
