name,x,y,z
root,-4.830414,-13.697088,8.0114
neck,1.922221,-39.598855,9.3365
shoulder.l,-19.429023,-44.706340,13.1603
elbow.l,-31.362415,-22.349927,32.8182
wrist.l,-20.281623,-20.117529,46.0745
shoulder.r,21.610812,-47.890982,-1.5288
elbow.r,27.389709,-21.925038,20.5335
wrist.r,17.579034,-33.814573,30.0285
headTop,3.277063,-65.436784,-1.1826
hip.l,-6.134456,2.565045,12.8397
knee.l,-5.698661,36.010427,46.1592
ankle.l,-12.323723,40.967191,-4.6542
foot.l,-20.946221,62.014265,-13.3214
hip.r,6.274990,-4.969727,-1.3627
knee.r,12.631094,34.559864,-36.6968
ankle.r,8.012594,66.358736,-76.0097
foot.r,22.309019,72.031315,-84.2055
