name,x,y,z
root,-1.811991,-12.417381,3.3456
neck,-2.641849,-37.197452,12.2901
shoulder.l,16.576815,-45.824759,9.6872
elbow.l,36.067713,-26.412317,12.3893
wrist.l,45.766233,-18.028775,-12.1374
shoulder.r,-14.038016,-48.049840,31.7856
elbow.r,-27.370878,-28.505480,59.2975
wrist.r,-35.801338,-2.843842,36.1679
headTop,1.297302,-54.492471,37.0073
hip.l,5.778233,-0.000837,-8.0684
knee.l,3.392559,42.214688,-27.2631
ankle.l,12.207138,51.729545,-6.1062
foot.l,42.507325,35.375130,-21.6482
hip.r,-11.816140,1.467322,1.6424
knee.r,-12.691346,34.223081,-23.7123
ankle.r,-11.623054,62.966085,-54.8601
foot.r,-45.798705,45.797304,-49.8171
