name,x,y,z
root,-2.936529,-0.800084,30.2152
neck,-5.122879,-25.525879,35.9618
shoulder.l,6.202191,-37.892765,59.9234
elbow.l,3.400524,-13.419850,76.8925
wrist.l,9.601486,-14.429966,53.2562
shoulder.r,-24.564417,-28.030590,36.2861
elbow.r,-20.070940,-12.593601,9.2136
wrist.r,2.886073,-7.668978,-19.3534
headTop,-1.523333,-50.064651,38.7814
hip.l,10.168097,2.085541,23.1531
knee.l,11.651909,21.205320,-26.5884
ankle.l,15.293702,42.243057,-67.4445
foot.l,11.954825,20.147392,-80.5193
hip.r,-7.254940,2.161580,16.3613
knee.r,-4.560650,28.811567,-31.1034
ankle.r,-2.379369,42.971844,-74.7098
foot.r,-2.745751,30.800063,-80.3259
