name,x,y,z
root,4.753642,-16.694950,11.6267
neck,-4.392163,-39.416430,3.4789
shoulder.l,1.270075,-44.821942,-18.3545
elbow.l,12.275662,-24.095200,-41.8504
wrist.l,2.112820,-9.679402,-43.7618
shoulder.r,-14.117017,-37.731975,24.5401
elbow.r,-6.984181,-21.285138,53.8573
wrist.r,-14.896515,-8.429090,70.3425
headTop,-12.684341,-60.035897,0.4347
hip.l,10.618155,-1.862871,3.9113
knee.l,12.755343,32.194027,-22.6955
ankle.l,29.156428,44.375652,21.8064
foot.l,33.423126,44.349502,16.6565
hip.r,-2.567835,-1.722579,11.6880
knee.r,-15.048110,26.220326,-22.2737
ankle.r,-16.382728,61.047565,-31.2132
foot.r,-19.292360,57.588401,-38.1931
