name,x,y,z
root,3.237629,-20.090834,3.5329
neck,-2.769759,-45.889537,-8.2017
shoulder.l,16.646171,-58.871942,-17.0380
elbow.l,7.559836,-33.531069,-23.0019
wrist.l,-3.826550,-20.675963,-37.4171
shoulder.r,-24.905458,-53.118714,-2.8965
elbow.r,-20.735663,-21.472946,-22.1707
wrist.r,-27.550423,-19.521999,-43.9631
headTop,-4.026292,-71.886784,-5.8531
hip.l,12.352437,-6.419236,-2.0105
knee.l,23.133470,40.257576,-8.0650
ankle.l,48.141504,59.948601,33.6308
foot.l,51.659057,70.217440,29.9707
hip.r,-6.708058,-6.336699,5.6048
knee.r,-24.120677,38.524353,7.5458
ankle.r,-20.453980,69.724874,46.1857
foot.r,-27.633243,79.142882,44.1468
