name,x,y,z
root,5.461564,-12.471845,-25.7957
neck,-6.672724,-35.750187,-20.6468
shoulder.l,-0.229629,-42.449677,-44.5283
elbow.l,25.112665,-24.389067,-45.0201
wrist.l,22.471286,-5.406031,-51.2020
shoulder.r,-15.790492,-43.220318,-7.2605
elbow.r,-20.812728,-18.247186,24.5514
wrist.r,-30.825121,-14.666126,-1.9322
headTop,-12.530259,-54.505881,-25.3038
hip.l,1.471984,2.015984,-28.0858
knee.l,-16.023625,22.651814,6.9996
ankle.l,-12.854536,54.069098,26.1159
foot.l,-25.510732,54.516095,38.6146
hip.r,7.783641,-7.028461,-10.8732
knee.r,18.865957,23.094446,29.7028
ankle.r,35.556857,52.926024,61.5522
foot.r,24.525892,48.861319,73.1119
