name,x,y,z
root,2.746396,3.759184,-44.1245
neck,4.785343,-22.061651,-34.1654
shoulder.l,-15.744539,-25.685628,-36.7589
elbow.l,-3.355798,-22.687463,-3.2488
wrist.l,14.985877,-28.585862,-6.8600
shoulder.r,23.064379,-35.248189,-30.2530
elbow.r,15.604893,-47.601508,2.8131
wrist.r,-3.480551,-56.913312,8.3175
headTop,6.807622,-42.787938,-34.4473
hip.l,-6.979904,12.957419,-34.5494
knee.l,-14.035481,30.060328,6.8021
ankle.l,-8.924731,63.076932,60.0173
foot.l,-11.724083,54.491046,69.1431
hip.r,15.264784,10.784302,-36.0539
knee.r,0.638736,16.406407,7.6228
ankle.r,-10.222344,51.083543,46.8748
foot.r,-9.430600,38.952392,58.8703
