name,x,y,z
root,-3.412464,-17.762490,8.3355
neck,-2.203648,-43.696562,-2.1086
shoulder.l,21.015030,-53.327211,4.3325
elbow.l,28.000613,-28.102315,25.2069
wrist.l,33.915585,-4.936625,13.1647
shoulder.r,-24.829646,-51.633861,-10.3942
elbow.r,-36.478248,-22.541393,12.9970
wrist.r,-36.305441,-0.280079,3.6992
headTop,2.411019,-68.222818,-21.9520
hip.l,9.752266,-4.580030,8.3989
knee.l,33.294927,24.738125,-29.9777
ankle.l,28.105053,54.556344,17.4861
foot.l,32.133918,65.350901,13.8620
hip.r,-13.726357,-3.755221,1.7313
knee.r,-12.351547,25.998543,-42.0242
ankle.r,-28.225493,58.177401,1.0356
foot.r,-31.095567,70.017291,-3.7932
