name,x,y,z
root,-5.242914,-14.740535,9.4385
neck,-4.455879,-45.757678,12.4159
shoulder.l,14.346776,-56.482276,23.2734
elbow.l,24.390664,-33.640111,-0.9039
wrist.l,18.024739,-34.094014,-25.7297
shoulder.r,-20.137989,-55.159031,-0.4817
elbow.r,-30.035779,-20.758684,1.1729
wrist.r,-19.759253,-13.769104,-17.8462
headTop,4.635522,-72.689490,14.7063
hip.l,5.377073,-1.396860,9.3822
knee.l,15.350078,35.351256,-8.1803
ankle.l,5.170324,64.669366,-13.4360
foot.l,9.336643,58.851753,-23.6646
hip.r,-8.735014,-3.322073,-1.9470
knee.r,-8.966182,40.086370,-17.4722
ankle.r,-0.991909,73.353825,21.8988
foot.r,1.693100,79.497286,17.3736
