name,x,y,z
root,0.431978,-8.128780,7.4345
neck,-12.393147,-29.792540,12.5264
shoulder.l,-6.447089,-45.857474,0.2815
elbow.l,21.914895,-28.492484,-22.4508
wrist.l,21.274113,-12.366876,-51.9914
shoulder.r,-27.343143,-38.034349,25.0175
elbow.r,-26.806245,-18.815665,9.0789
wrist.r,-25.069480,-21.569678,9.3169
headTop,-22.821646,-53.330319,14.9053
hip.l,0.405570,3.272141,-3.2217
knee.l,-5.340208,28.933519,-25.6944
ankle.l,-2.896441,52.610747,-72.7687
foot.l,-16.159899,55.763315,-63.6928
hip.r,5.445585,4.894582,14.2486
knee.r,22.768054,28.508391,45.2602
ankle.r,41.086556,39.052564,40.1693
foot.r,31.950547,43.352907,61.5806
