name,x,y,z
root,-2.273454,-16.613892,4.8006
neck,-6.926493,-40.329672,8.7444
shoulder.l,13.441548,-53.244721,6.7190
elbow.l,20.049665,-21.341017,37.6898
wrist.l,17.202781,-8.254109,35.3164
shoulder.r,-26.177023,-52.376680,17.1618
elbow.r,-21.746826,-25.125055,-6.8661
wrist.r,-15.974083,9.225367,-50.7949
headTop,-8.321172,-62.155000,10.5732
hip.l,10.964818,-10.535775,-3.2459
knee.l,14.282714,27.490808,19.6109
ankle.l,3.297153,57.656906,50.8743
foot.l,4.873046,64.224179,42.6397
hip.r,-8.664633,-4.826002,-3.8706
knee.r,-4.157233,24.945280,-32.2450
ankle.r,7.679126,62.006039,-61.9458
foot.r,2.450065,49.253345,-75.1618
