name,x,y,z
root,-2.990215,-8.094716,12.8105
neck,-0.509211,-29.596385,1.6933
shoulder.l,10.995732,-50.260885,7.3505
elbow.l,22.772141,-23.074554,-5.4528
wrist.l,24.150595,-14.841123,-20.4369
shoulder.r,-18.560481,-39.799233,-6.5986
elbow.r,-23.345616,-25.975105,-36.6004
wrist.r,-39.927841,-40.996287,-53.1535
headTop,-1.793738,-50.443217,-8.4156
hip.l,7.880216,2.990846,12.7443
knee.l,26.132989,28.196360,-19.0318
ankle.l,29.292871,51.831460,23.4370
foot.l,33.232037,61.422764,13.2942
hip.r,-8.660370,4.347243,5.1052
knee.r,-9.900657,45.220390,-6.2657
ankle.r,-23.275521,40.134783,40.0238
foot.r,-25.492933,48.937659,39.4965
