name,x,y,z
root,10.009445,-11.177161,8.2845
neck,29.182359,5.107255,2.8810
shoulder.l,29.523052,20.652260,0.3959
elbow.l,18.376368,31.865497,16.9622
wrist.l,35.278412,35.389815,-74.6049
shoulder.r,39.654808,-2.883590,4.3493
elbow.r,60.622986,-5.920978,2.8562
wrist.r,47.363347,-6.251692,-36.8604
headTop,39.919269,11.924999,-22.6176
hip.l,-2.574963,-0.317603,9.4140
knee.l,-18.689027,-3.097121,-5.2098
ankle.l,-63.550443,20.347568,3.0363
foot.l,-58.216238,8.663355,0.7171
hip.r,-4.720880,-21.267920,5.1666
knee.r,-51.129786,-24.085795,0.1237
ankle.r,-39.629562,-28.692066,45.3946
foot.r,-71.419147,-30.256823,39.7113
