name,x,y,z
root,-16.562591,-8.670819,-22.7669
neck,-0.555464,-40.975111,-24.2876
shoulder.l,-19.914786,-55.361524,-20.6705
elbow.l,-29.831284,-44.228267,13.6318
wrist.l,-12.038208,-38.905255,25.0158
shoulder.r,8.701360,-34.406953,-47.6381
elbow.r,21.439529,-10.885080,-35.2054
wrist.r,16.315212,-21.933986,-14.2638
headTop,8.482923,-62.699636,-31.8892
hip.l,-22.083151,-4.568345,-6.6560
knee.l,-17.260976,24.557015,34.5810
ankle.l,-15.033539,76.761001,30.2818
foot.l,-7.643042,66.390914,44.2199
hip.r,-3.962494,3.022448,-19.7112
knee.r,23.438806,31.220025,20.5160
ankle.r,27.985588,67.278508,20.4403
foot.r,38.522118,53.405067,34.4020
