name,x,y,z
root,-19.535767,-5.513894,-13.7202
neck,-3.109788,-36.713410,-13.1505
shoulder.l,-1.642152,-44.735198,3.9405
elbow.l,1.498653,-27.147662,30.2438
wrist.l,21.453844,-10.768559,38.1091
shoulder.r,6.322714,-44.342198,-25.2003
elbow.r,9.629046,-16.796093,-51.2464
wrist.r,21.878709,-20.350578,-43.4209
headTop,13.889760,-57.856432,-8.2143
hip.l,-25.956193,3.173698,-0.3198
knee.l,-19.621956,21.098476,38.8368
ankle.l,-35.324571,57.811372,10.8260
foot.l,-26.617715,25.916263,43.3215
hip.r,-10.600516,8.757079,-10.9531
knee.r,15.676451,32.370216,18.1833
ankle.r,7.702915,63.672112,-7.5705
foot.r,44.356566,51.424809,-9.6652
