name,x,y,z
root,-6.070796,-20.491839,-22.0462
neck,-0.602162,-44.954670,-22.2562
shoulder.l,-23.541398,-52.279626,-16.3435
elbow.l,-21.583643,-26.615687,8.1056
wrist.l,-11.170012,-28.974044,27.1643
shoulder.r,17.930803,-50.904736,-36.3256
elbow.r,25.897313,-22.804327,-17.4566
wrist.r,34.571144,-23.863385,3.0860
headTop,-4.304145,-63.150758,-37.3638
hip.l,-15.709990,-9.397260,-13.0392
knee.l,-15.617849,26.600807,16.8701
ankle.l,-28.166243,69.998829,40.3418
foot.l,-22.619454,65.879893,56.4590
hip.r,2.329034,-5.554592,-23.0130
knee.r,13.987804,31.908414,-1.4823
ankle.r,21.522347,78.716297,11.9810
foot.r,33.147246,75.886683,25.3190
