name,x,y,z
root,-25.916731,-10.469898,3.4441
neck,-13.029111,-29.062444,4.7369
shoulder.l,-12.540179,-42.808699,20.8509
elbow.l,-5.696680,-20.613632,35.0677
wrist.l,2.183683,-7.312665,21.6214
shoulder.r,-11.992836,-43.549548,-7.8835
elbow.r,4.873149,-21.952035,-30.6466
wrist.r,16.021306,-6.593491,-18.5346
headTop,-1.482455,-52.862528,7.5716
hip.l,-23.130572,-2.729757,17.3676
knee.l,8.534204,20.884765,21.1236
ankle.l,10.319331,55.670203,-4.2689
foot.l,25.487114,51.435073,11.2199
hip.r,-22.416385,-7.015979,-11.5281
knee.r,7.414980,14.940722,-27.0048
ankle.r,13.152591,55.542425,-14.3328
foot.r,28.218589,46.497486,-28.8043
