name,x,y,z
root,-0.102678,1.640906,26.1348
neck,-19.121919,-18.717439,47.1516
shoulder.l,-21.345844,-33.513188,67.5025
elbow.l,3.813271,-29.018574,36.6960
wrist.l,13.515363,-25.241349,16.2872
shoulder.r,-30.482249,-13.715944,64.6814
elbow.r,-12.548175,-2.763920,28.4476
wrist.r,-5.830760,-14.691897,32.3734
headTop,-36.740521,-31.401144,61.7604
hip.l,14.443186,-0.025722,14.5307
knee.l,44.837801,2.143876,-34.7269
ankle.l,72.378997,30.948334,-59.6075
foot.l,66.286097,-28.640176,-76.2807
hip.r,-5.623233,10.338709,10.8006
knee.r,-11.277448,37.069054,-38.3123
ankle.r,-11.414350,72.843097,-86.6086
foot.r,-60.787537,42.745376,-110.8301
