name,x,y,z
root,0.030349,-15.278158,14.7348
neck,4.871429,-38.522348,11.4112
shoulder.l,16.830044,-44.748394,32.3120
elbow.l,-8.808304,-18.211484,36.7812
wrist.l,14.430638,-15.300334,29.8666
shoulder.r,-3.986097,-48.839325,-10.7181
elbow.r,-6.967155,-21.939711,-35.7830
wrist.r,8.157556,-15.695298,-50.5306
headTop,9.841311,-56.032159,5.1468
hip.l,4.998379,2.754899,6.6233
knee.l,18.853342,40.577438,-16.0578
ankle.l,24.150308,66.655550,-10.5386
foot.l,26.726741,59.675635,-17.9559
hip.r,0.227784,0.523771,5.2782
knee.r,-12.716035,31.797973,-22.9370
ankle.r,-45.469824,37.380638,15.1377
foot.r,-51.170467,35.201306,7.2293
