comment : Use 2D joint annotation of LSP to manipulate human model
date : 10.09
name : LSP2D3D
outputFolder : /q/cache/lsp_2d_3d/render_output/
tasktype : LSP3Dtask
rowId,mode,LSPPoseId
0,ij,1
1,ij,2
2,ij,3
3,ij,4
4,ij,5
5,ij,6
6,ij,7
7,ij,8
8,ij,9
9,ij,10
10,ij,11
11,ij,12
12,ij,13
13,ij,14
14,ij,15
15,ij,16
16,ij,17
17,ij,18
18,ij,19
19,ij,20
20,ij,21
21,ij,22
22,ij,23
23,ij,24
24,ij,25
25,ij,26
26,ij,27
27,ij,28
28,ij,29
29,ij,30
30,ij,31
31,ij,32
32,ij,33
33,ij,34
34,ij,35
35,ij,36
36,ij,37
37,ij,38
38,ij,39
39,ij,40
40,ij,41
41,ij,42
42,ij,43
43,ij,44
44,ij,45
45,ij,46
46,ij,47
47,ij,48
48,ij,49
49,ij,50
50,ij,51
51,ij,52
52,ij,53
53,ij,54
54,ij,55
55,ij,56
56,ij,57
57,ij,58
58,ij,59
59,ij,60
60,ij,61
61,ij,62
62,ij,63
63,ij,64
64,ij,65
65,ij,66
66,ij,67
67,ij,68
68,ij,69
69,ij,70
70,ij,71
71,ij,72
72,ij,73
73,ij,74
74,ij,75
75,ij,76
76,ij,77
77,ij,78
78,ij,79
79,ij,80
80,ij,81
81,ij,82
82,ij,83
83,ij,84
84,ij,85
85,ij,86
86,ij,87
87,ij,88
88,ij,89
89,ij,90
90,ij,91
91,ij,92
92,ij,93
93,ij,94
94,ij,95
95,ij,96
96,ij,97
97,ij,98
98,ij,99
99,ij,100
100,ij,101
101,ij,102
102,ij,103
103,ij,104
104,ij,105
105,ij,106
106,ij,107
107,ij,108
108,ij,109
109,ij,110
110,ij,111
111,ij,112
112,ij,113
113,ij,114
114,ij,115
115,ij,116
116,ij,117
117,ij,118
118,ij,119
119,ij,120
120,ij,121
121,ij,122
122,ij,123
123,ij,124
124,ij,125
125,ij,126
126,ij,127
127,ij,128
128,ij,129
129,ij,130
130,ij,131
131,ij,132
132,ij,133
133,ij,134
134,ij,135
135,ij,136
136,ij,137
137,ij,138
138,ij,139
139,ij,140
140,ij,141
141,ij,142
142,ij,143
143,ij,144
144,ij,145
145,ij,146
146,ij,147
147,ij,148
148,ij,149
149,ij,150
150,ij,151
151,ij,152
152,ij,153
153,ij,154
154,ij,155
155,ij,156
156,ij,157
157,ij,158
158,ij,159
159,ij,160
160,ij,161
161,ij,162
162,ij,163
163,ij,164
164,ij,165
165,ij,166
166,ij,167
167,ij,168
168,ij,169
169,ij,170
170,ij,171
171,ij,172
172,ij,173
173,ij,174
174,ij,175
175,ij,176
176,ij,177
177,ij,178
178,ij,179
179,ij,180
180,ij,181
181,ij,182
182,ij,183
183,ij,184
184,ij,185
185,ij,186
186,ij,187
187,ij,188
188,ij,189
189,ij,190
190,ij,191
191,ij,192
192,ij,193
193,ij,194
194,ij,195
195,ij,196
196,ij,197
197,ij,198
198,ij,199
199,ij,200
200,ij,201
201,ij,202
202,ij,203
203,ij,204
204,ij,205
205,ij,206
206,ij,207
207,ij,208
208,ij,209
209,ij,210
210,ij,211
211,ij,212
212,ij,213
213,ij,214
214,ij,215
215,ij,216
216,ij,217
217,ij,218
218,ij,219
219,ij,220
220,ij,221
221,ij,222
222,ij,223
223,ij,224
224,ij,225
225,ij,226
226,ij,227
227,ij,228
228,ij,229
229,ij,230
230,ij,231
231,ij,232
232,ij,233
233,ij,234
234,ij,235
235,ij,236
236,ij,237
237,ij,238
238,ij,239
239,ij,240
240,ij,241
241,ij,242
242,ij,243
243,ij,244
244,ij,245
245,ij,246
246,ij,247
247,ij,248
248,ij,249
249,ij,250
250,ij,251
251,ij,252
252,ij,253
253,ij,254
254,ij,255
255,ij,256
256,ij,257
257,ij,258
258,ij,259
259,ij,260
260,ij,261
261,ij,262
262,ij,263
263,ij,264
264,ij,265
265,ij,266
266,ij,267
267,ij,268
268,ij,269
269,ij,270
270,ij,271
271,ij,272
272,ij,273
273,ij,274
274,ij,275
275,ij,276
276,ij,277
277,ij,278
278,ij,279
279,ij,280
280,ij,281
281,ij,282
282,ij,283
283,ij,284
284,ij,285
285,ij,286
286,ij,287
287,ij,288
288,ij,289
289,ij,290
290,ij,291
291,ij,292
292,ij,293
293,ij,294
294,ij,295
295,ij,296
296,ij,297
297,ij,298
298,ij,299
299,ij,300
300,ij,301
301,ij,302
302,ij,303
303,ij,304
304,ij,305
305,ij,306
306,ij,307
307,ij,308
308,ij,309
309,ij,310
310,ij,311
311,ij,312
312,ij,313
313,ij,314
314,ij,315
315,ij,316
316,ij,317
317,ij,318
318,ij,319
319,ij,320
320,ij,321
321,ij,322
322,ij,323
323,ij,324
324,ij,325
325,ij,326
326,ij,327
327,ij,328
328,ij,329
329,ij,330
330,ij,331
331,ij,332
332,ij,333
333,ij,334
334,ij,335
335,ij,336
336,ij,337
337,ij,338
338,ij,339
339,ij,340
340,ij,341
341,ij,342
342,ij,343
343,ij,344
344,ij,345
345,ij,346
346,ij,347
347,ij,348
348,ij,349
349,ij,350
350,ij,351
351,ij,352
352,ij,353
353,ij,354
354,ij,355
355,ij,356
356,ij,357
357,ij,358
358,ij,359
359,ij,360
360,ij,361
361,ij,362
362,ij,363
363,ij,364
364,ij,365
365,ij,366
366,ij,367
367,ij,368
368,ij,369
369,ij,370
370,ij,371
371,ij,372
372,ij,373
373,ij,374
374,ij,375
375,ij,376
376,ij,377
377,ij,378
378,ij,379
379,ij,380
380,ij,381
381,ij,382
382,ij,383
383,ij,384
384,ij,385
385,ij,386
386,ij,387
387,ij,388
388,ij,389
389,ij,390
390,ij,391
391,ij,392
392,ij,393
393,ij,394
394,ij,395
395,ij,396
396,ij,397
397,ij,398
398,ij,399
399,ij,400
400,ij,401
401,ij,402
402,ij,403
403,ij,404
404,ij,405
405,ij,406
406,ij,407
407,ij,408
408,ij,409
409,ij,410
410,ij,411
411,ij,412
412,ij,413
413,ij,414
414,ij,415
415,ij,416
416,ij,417
417,ij,418
418,ij,419
419,ij,420
420,ij,421
421,ij,422
422,ij,423
423,ij,424
424,ij,425
425,ij,426
426,ij,427
427,ij,428
428,ij,429
429,ij,430
430,ij,431
431,ij,432
432,ij,433
433,ij,434
434,ij,435
435,ij,436
436,ij,437
437,ij,438
438,ij,439
439,ij,440
440,ij,441
441,ij,442
442,ij,443
443,ij,444
444,ij,445
445,ij,446
446,ij,447
447,ij,448
448,ij,449
449,ij,450
450,ij,451
451,ij,452
452,ij,453
453,ij,454
454,ij,455
455,ij,456
456,ij,457
457,ij,458
458,ij,459
459,ij,460
460,ij,461
